,Date,Year,Month,Day,Tmax_C,Tmin_C,Srad,Ws_2m,q,Prcp,ETo,ETr_ASCE
7570,1999-09-23,1999,9,23,18.3579040527,8.16176757813,98.860496521,1.22068769545,0.00887698121369,2.90167856216,1.86797058582,2.19233517551
7571,1999-09-24,1999,9,24,22.6881958008,4.46251831055,216.741943359,2.46955080925,0.00913131702691,0.0,3.37361717224,4.13529486774
7572,1999-09-25,1999,9,25,25.7183166504,7.78267822266,215.980529785,2.74017160099,0.0076964139007,0.0,4.38018512726,6.06130982847
7573,1999-09-26,1999,9,26,25.048638916,6.84240112305,217.444778442,2.98450401411,0.00625879736617,0.0,4.62756967545,6.65081287039
7574,1999-09-27,1999,9,27,23.6190734863,6.21251831055,217.321136475,2.95980986486,0.00458274083212,0.0,4.69409704208,6.90875349681
7575,1999-09-28,1999,9,28,15.0582519531,0.601770019531,224.486175537,3.25499373666,0.00228674104437,0.0,3.95326352119,5.80296584967
7576,1999-09-29,1999,9,29,19.6081787109,-2.27747192383,219.3125,1.10885687431,0.00263528944924,0.0,3.05241918564,3.97216838506
7577,1999-09-30,1999,9,30,23.1880432129,2.91524658203,216.826538086,0.956337182568,0.00327112874947,0.0,3.15937566757,4.07927288388
7578,1999-10-01,1999,10,1,25.7776733398,5.52535400391,214.919769287,1.87670808696,0.00343784270808,0.0,4.19642686844,6.15750566544
7579,1999-10-02,1999,10,2,25.318170166,6.32589111328,214.893737793,1.84697695754,0.0032362351194,0.0,4.14226531982,6.06607408809
7580,1999-10-03,1999,10,3,24.1984802246,7.14592895508,212.284133911,2.02372367507,0.00309278350323,0.0,4.20279407501,6.19546101109
7581,1999-10-04,1999,10,4,24.748223877,5.6959777832,211.106231689,1.11683105268,0.00282875518315,0.0,3.32523012161,4.56595492461
7582,1999-10-05,1999,10,5,27.5278259277,5.54595336914,205.58114624,2.37174751245,0.00377475982532,0.0,4.65296363831,7.19693906255
7583,1999-10-06,1999,10,6,25.828729248,8.20528564453,198.852127075,3.91905196872,0.00491461763158,0.0,5.41292476654,8.43854451138
7584,1999-10-07,1999,10,7,17.8081604004,4.51519165039,167.699508667,3.85034103965,0.0043198755011,0.0,3.82395529747,5.71149833641
7585,1999-10-08,1999,10,8,21.2384277344,-0.5240234375,202.145050049,2.21505063661,0.00466842390597,0.0,3.43437051773,4.84937852615
7586,1999-10-09,1999,10,9,24.1581359863,4.35601196289,201.253494263,1.18161053011,0.00413997936994,0.0,3.14147377014,4.22750426815
7587,1999-10-10,1999,10,10,25.5983825684,6.38546142578,200.420501709,0.631414245862,0.00379530829377,0.0,2.65850830078,3.29116171818
7588,1999-10-11,1999,10,11,25.797845459,6.64544067383,198.422622681,1.32325522367,0.00325368181802,0.0,3.38691139221,4.85376428066
7589,1999-10-12,1999,10,12,25.6280761719,7.51583251953,196.333633423,1.61168243399,0.00323041947559,0.0,3.65762019157,5.39715089609
7590,1999-10-13,1999,10,13,24.9785705566,6.18618164063,196.320617676,0.704438465922,0.00303927995265,0.0,2.60087394714,3.36799784914
7591,1999-10-14,1999,10,14,25.1281982422,6.49538574219,192.669769287,1.70153205985,0.00311682140455,0.0,3.63810515404,5.44357886277
7592,1999-10-15,1999,10,15,22.9482055664,5.73607788086,190.229354858,2.70795301011,0.002832244616,0.0,4.29697942734,6.72068017978
