,Date,Year,Month,Day,Tmax_C,Tmin_C,Srad,Ws_2m,q,Prcp,ETr
0,1979-01-01,1979,1,1,-8.018469238281227,-19.937841796874977,166.3706817626953,4.309174160926846,0.0007936022011563182,0.0,1.337203025817871
1,1979-01-02,1979,1,2,-7.957952880859352,-22.357885742187477,127.58098602294922,0.91014501079044,0.0006901666638441384,0.0,0.6714711785316467
2,1979-01-03,1979,1,3,-1.6677917480468523,-15.907293701171852,116.28204345703125,1.4485227769912503,0.0012949883239343762,0.0,1.0989314317703247
3,1979-01-04,1979,1,4,2.1117187500000227,-7.877722167968727,111.8157958984375,1.6886551803631542,0.002111813286319375,4.264001369476318,1.4064579010009766
4,1979-01-05,1979,1,5,2.9815612792968977,-7.738134765624977,106.18965911865234,1.8470712916964633,0.0024189618416130543,2.305636167526245,1.4020826816558838
5,1979-01-06,1979,1,6,2.8122802734375227,-2.8980773925781023,51.481449127197266,1.3244843317132422,0.0031927544623613358,1.662335991859436,1.067665934562683
6,1979-01-07,1979,1,7,1.9721008300781477,-10.697058105468727,126.54108428955078,2.238869386314114,0.0023238167632371187,0.5009799003601074,1.3170204162597656
7,1979-01-08,1979,1,8,-1.5380615234374773,-14.887823486328102,123.68801879882812,0.9310098888666327,0.0013877644669264555,0.0,0.9067252278327942
8,1979-01-09,1979,1,9,0.8712402343750227,-13.177770996093727,116.64867401123047,1.6989483026570482,0.0019688985776156187,0.0,1.1544784307479858
9,1979-01-10,1979,1,10,0.08171997070314774,-10.727392578124977,125.32786560058594,1.2029507346239556,0.002000087173655629,0.0,1.0118128061294556
10,1979-01-11,1979,1,11,2.5021606445312727,-8.937231445312477,98.50370788574219,0.9734879876968362,0.0024904191959649324,4.389245510101318,0.965567946434021
11,1979-01-12,1979,1,12,3.9514404296875227,-2.6480468749999773,89.45122528076172,2.033232343783013,0.0032045983243733644,0.0,1.480705976486206
12,1979-01-13,1979,1,13,1.8720336914062727,-12.987219238281227,135.040283203125,3.953485896453853,0.0019321829313412309,0.0,1.8771450519561768
13,1979-01-14,1979,1,14,0.6216674804687727,-15.878149414062477,121.70819854736328,2.0331850875433797,0.001728470204398036,0.0,1.2925618886947632
14,1979-01-15,1979,1,15,3.3522277832031477,-4.757391357421852,89.67120361328125,1.5110107726111464,0.0027948038186877966,0.0,1.3175055980682373
15,1979-01-16,1979,1,16,4.312219238281273,-1.9671997070312273,93.41085052490234,1.6015765534041917,0.0033297473564743996,0.8197835683822632,1.381036400794983
16,1979-01-17,1979,1,17,4.671777343750023,-0.9671386718749773,100.75016784667969,2.562087086070522,0.003607681021094322,2.049454689025879,1.6694858074188232
17,1979-01-18,1979,1,18,4.401177978515648,-2.9271911621093523,122.2148208618164,1.6112826283740356,0.003420154796913266,4.138757228851318,1.3365803956985474
18,1979-01-19,1979,1,19,2.3316589355468977,-8.597418212890602,98.10374450683594,2.01977180515565,0.0025066055823117495,0.0,1.332346796989441
19,1979-01-20,1979,1,20,-0.06775512695310226,-13.887762451171852,142.25294494628906,2.749534221176831,0.001648722100071609,0.0,1.5663456916809082
20,1979-01-21,1979,1,21,-1.0376647949218523,-14.418127441406227,137.473388671875,1.214951055446645,0.0015970043605193496,0.25618427991867065,1.0556915998458862
21,1979-01-22,1979,1,22,1.5520263671875227,-8.607122802734352,97.92376708984375,3.259564930801298,0.0021102342288941145,4.776364326477051,1.830734372138977
22,1979-01-23,1979,1,23,-4.178411865234352,-19.657492065429665,147.0924835205078,2.422448642787784,0.0010020524496212602,0.0,1.299242615699768
23,1979-01-24,1979,1,24,-2.0483459472656023,-18.11736145019529,140.3597869873047,1.5153628047932375,0.0013877644669264555,0.0,1.076993703842163
24,1979-01-25,1979,1,25,1.8213745117187727,-7.068212890624977,92.8642349243164,1.6627997758935211,0.0024659419432282448,1.6054067611694336,1.303893804550171
25,1979-01-26,1979,1,26,0.33132324218752274,-6.897070312499977,65.14016723632812,2.298888377157237,0.0022515698801726103,0.7059251070022583,1.428152322769165
26,1979-01-27,1979,1,27,-2.6982482910156023,-14.257910156249977,149.04563903808594,2.366591054239325,0.0014643542235717177,0.34157809615135193,1.3298454284667969
27,1979-01-28,1979,1,28,-1.4577392578124773,-17.218038940429665,146.61920166015625,2.3476814253686453,0.0014090832555666566,0.3643497824668884,1.384462594985962
28,1979-01-29,1979,1,29,-2.0878662109374773,-13.918096923828102,97.49047088623047,2.3787453590730467,0.001594635541550815,3.1652674674987793,1.2680023908615112
29,1979-01-30,1979,1,30,-6.658148193359352,-18.167120361328102,158.61807250976562,1.3588697549248605,0.0008547949837520719,0.0,1.0275485515594482
30,1979-01-31,1979,1,31,0.6476074218750227,-18.759374999999977,93.07755279541016,2.097917932871297,0.0011820776853710413,0.29603472352027893,1.6404550075531006
31,1979-02-01,1979,2,1,6.376824951171898,-6.088781738281227,106.56961822509766,2.0296572755106688,0.002746244426816702,1.1556713581085205,1.9575903415679932
32,1979-02-02,1979,2,2,5.047387695312523,-8.128942871093727,155.2983856201172,1.6896712786779895,0.002358163706958294,0.0,1.8309351205825806
33,1979-02-03,1979,2,3,3.1570068359375227,-11.138830566406227,159.1046905517578,0.9487291954748478,0.0020715445280075073,0.0,1.3254640102386475
34,1979-02-04,1979,2,4,0.8971801757812727,-15.518927001953102,145.385986328125,1.0278583421375862,0.0015997679438441992,0.0,1.207603931427002
35,1979-02-05,1979,2,5,0.8070007324218977,-16.379400634765602,162.13107299804688,1.3925274320461238,0.00147738226223737,0.0,1.4123642444610596
